id_venta,fecha,id_concesionario,modelo,categoria_vehiculo,metodo_pago,unidades,precio_unitario,costo_unitario,descuento,monto_venta
1,2024-01-01,8,Fiesta,Sedán,Leasing,1,300100.0,256200.0,0.0,300100.0
2,2024-01-01,12,F-150,Pickup,Financiamiento,2,1025700.0,764600.0,205140.0,1846260.0
3,2024-01-01,9,Bronco,SUV,Contado,1,842700.0,681600.0,0.0,842700.0
4,2024-01-02,19,Explorer,SUV,Leasing,1,1058100.0,849000.0,126970.0,931130.0
5,2024-01-02,14,Bronco,SUV,Financiamiento,1,943800.0,688700.0,0.0,943800.0
6,2024-01-03,4,Bronco,SUV,Contado,1,872000.0,692300.0,43600.0,828400.0
7,2024-01-03,1,Fiesta,Sedán,Financiamiento,1,340800.0,247900.0,40900.0,299900.0
8,2024-01-03,14,Mustang,Deportivo,Financiamiento,3,1212800.0,1003900.0,291070.0,3347330.0
9,2024-01-03,15,Focus,Sedán,Financiamiento,1,390300.0,337300.0,0.0,390300.0
10,2024-01-03,9,F-150,Pickup,Financiamiento,3,934900.0,706500.0,56090.0,2748610.0
11,2024-01-04,19,F-150,Pickup,Leasing,1,985200.0,765000.0,0.0,985200.0
12,2024-01-04,7,F-150,Pickup,Contado,3,995000.0,741700.0,0.0,2985000.0
13,2024-01-04,20,Fiesta,Sedán,Financiamiento,5,329500.0,247000.0,131800.0,1515700.0
14,2024-01-04,8,F-150,Pickup,Contado,1,990200.0,724700.0,118820.0,871380.0
15,2024-01-04,18,Fiesta,Sedán,Contado,1,303800.0,258600.0,36460.0,267340.0
16,2024-01-04,18,F-150,Pickup,Contado,3,922200.0,761800.0,0.0,2766600.0
17,2024-01-04,2,F-150,Pickup,Contado,5,1009700.0,774400.0,252420.0,4796080.0
18,2024-01-05,1,Fiesta,Sedán,Financiamiento,4,317600.0,242300.0,127040.0,1143360.0
19,2024-01-05,2,Fiesta,Sedán,Contado,1,326300.0,257700.0,0.0,326300.0
20,2024-01-05,14,F-150,Pickup,Leasing,1,889700.0,794300.0,0.0,889700.0
21,2024-01-05,8,Bronco,SUV,Leasing,1,937800.0,710600.0,93780.0,844020.0
22,2024-01-05,3,Bronco,SUV,Financiamiento,5,862800.0,700000.0,215700.0,4098300.0
23,2024-01-05,4,Fiesta,Sedán,Leasing,1,316300.0,253500.0,0.0,316300.0
24,2024-01-05,2,Explorer,SUV,Financiamiento,5,1011500.0,818800.0,101150.0,4956350.0
25,2024-01-06,8,F-150,Pickup,Leasing,2,937300.0,739100.0,0.0,1874600.0
26,2024-01-06,1,F-150,Pickup,Contado,3,1019400.0,791300.0,152910.0,2905290.0
27,2024-01-06,1,F-150,Pickup,Contado,3,921600.0,759500.0,55300.0,2709500.0
28,2024-01-06,6,Bronco,SUV,Leasing,1,831700.0,689800.0,41580.0,790120.0
29,2024-01-06,13,Explorer,SUV,Leasing,4,1049700.0,838500.0,419880.0,3778920.0
30,2024-01-06,4,F-150,Pickup,Financiamiento,4,949100.0,748300.0,0.0,3796400.0
31,2024-01-06,3,F-150,Pickup,Contado,1,982300.0,757700.0,49120.0,933180.0
32,2024-01-06,13,Fiesta,Sedán,Financiamiento,1,313000.0,238700.0,0.0,313000.0
33,2024-01-07,12,Bronco,SUV,Leasing,1,915900.0,694500.0,0.0,915900.0
34,2024-01-07,5,Explorer,SUV,Contado,4,1137500.0,819200.0,0.0,4550000.0
35,2024-01-07,6,Focus,Sedán,Financiamiento,1,447400.0,327600.0,35790.0,411610.0
36,2024-01-07,20,Explorer,SUV,Leasing,2,1059100.0,815600.0,254180.0,1864020.0
37,2024-01-07,2,Explorer,SUV,Contado,4,1065300.0,834200.0,213060.0,4048140.0
38,2024-01-07,16,Explorer,SUV,Financiamiento,1,982900.0,818900.0,0.0,982900.0
39,2024-01-07,20,Explorer,SUV,Financiamiento,2,1087300.0,840900.0,0.0,2174600.0
40,2024-01-08,3,Focus,Sedán,Leasing,1,417100.0,331700.0,50050.0,367050.0
41,2024-01-08,8,Fiesta,Sedán,Contado,5,309600.0,244300.0,0.0,1548000.0
42,2024-01-08,3,Explorer,SUV,Financiamiento,1,1051400.0,820100.0,84110.0,967290.0
43,2024-01-08,17,F-150,Pickup,Contado,5,967200.0,764700.0,96720.0,4739280.0
44,2024-01-08,9,Bronco,SUV,Financiamiento,5,890300.0,742400.0,0.0,4451500.0
45,2024-01-09,11,Explorer,SUV,Leasing,1,1145900.0,852000.0,0.0,1145900.0
46,2024-01-09,11,Bronco,SUV,Financiamiento,2,860800.0,723500.0,0.0,1721600.0
47,2024-01-09,13,Bronco,SUV,Financiamiento,5,786300.0,743300.0,471780.0,3459720.0
48,2024-01-10,5,Explorer,SUV,Contado,1,1088200.0,852600.0,108820.0,979380.0
49,2024-01-10,2,F-150,Pickup,Leasing,1,891800.0,771000.0,26750.0,865050.0
50,2024-01-10,2,Fiesta,Sedán,Contado,1,338900.0,257700.0,33890.0,305010.0
51,2024-01-10,14,Explorer,SUV,Financiamiento,1,1039300.0,853300.0,20790.0,1018510.0
52,2024-01-10,10,Fiesta,Sedán,Financiamiento,1,305300.0,264200.0,9160.0,296140.0
53,2024-01-10,9,Focus,Sedán,Leasing,1,419200.0,338500.0,0.0,419200.0
54,2024-01-11,12,F-150,Pickup,Financiamiento,1,869400.0,757000.0,17390.0,852010.0
55,2024-01-11,12,Explorer,SUV,Financiamiento,4,1016900.0,851100.0,122030.0,3945570.0
56,2024-01-11,5,Focus,Sedán,Financiamiento,5,423800.0,324000.0,105950.0,2013050.0
57,2024-01-12,19,Focus,Sedán,Financiamiento,1,392200.0,334400.0,0.0,392200.0
58,2024-01-12,5,F-150,Pickup,Contado,4,907900.0,728400.0,0.0,3631600.0
59,2024-01-12,7,Explorer,SUV,Contado,4,1076800.0,848800.0,0.0,4307200.0
60,2024-01-12,20,Fiesta,Sedán,Contado,3,303700.0,243300.0,45560.0,865540.0
61,2024-01-12,15,Bronco,SUV,Financiamiento,1,925400.0,671100.0,0.0,925400.0
62,2024-01-12,6,Fiesta,Sedán,Financiamiento,1,322800.0,259100.0,6460.0,316340.0
63,2024-01-13,2,Focus,Sedán,Financiamiento,1,393000.0,329000.0,31440.0,361560.0
64,2024-01-13,16,F-150,Pickup,Contado,1,996900.0,749700.0,0.0,996900.0
65,2024-01-13,15,Focus,Sedán,Financiamiento,1,420300.0,315400.0,50440.0,369860.0
66,2024-01-13,5,Bronco,SUV,Financiamiento,2,889800.0,710800.0,0.0,1779600.0
67,2024-01-13,3,Explorer,SUV,Contado,3,1101300.0,824900.0,0.0,3303900.0
